"Component","Sheet","Phase","Implementation","Status"
"PLT-03","Component List","Phase 2","stacks/50-phase2-data-protection","Implemented"
"PLT-04","Component List","Phase 2","stacks/51-operations","Operational contract"
"PLT-05","Component List","Phase 2","stacks/51-operations","Operational contract"
"PLT-06","Component List","Phase 1","stacks/10-platform","Implemented"
"PLT-07","Component List","Phase 2","stacks/50-phase2-data-protection","Implemented"
"PLT-08","Component List","Phase 2","stacks/51-operations","Operational contract"
"PLT-09","Deployment Order","Phase 1","enterprise tooling reachability contract","Operational contract"
"IAC-01","Component List","Phase 1","stacks/02-iac-foundation","Implemented with bootstrap contract"
"IAC-02","Component List","Phase 1","stacks/02-iac-foundation","Operational contract"
"IAC-03","Component List","Phase 1","stacks/02-iac-foundation","Implemented"
"IAC-04","Component List","Phase 1","stacks/02-iac-foundation","Implemented"
"IAC-05","Component List","Phase 1","stacks/02-iac-foundation","Operational contract"
"IAC-06","Component List","Phase 2","stacks/02-iac-foundation","Operational contract"
"IAC-07","Component List","Phase 1","stacks/06-subscription-baseline","Implemented"
"IAC-08","Component List","Phase 1","stacks/02-iac-foundation","Implemented"
"IAC-09","Deployment Order","Phase 1","stacks/02-iac-foundation","Implemented"
"IAC-10","Deployment Order","Phase 1","stacks/02-iac-foundation","Implemented"
"IAC-12","Deployment Order","Phase 1","stacks/02-iac-foundation","Operational contract"
"WKL-01","Component List","Phase 1","stacks/30-workload-spoke","Implemented"
"WKL-02","Component List","Phase 1","pilot workload validation using stacks/30-workload-spoke","Validation activity"
"WKL-03","Component List","Phase 2","stacks/60-aks","Implemented"
"WKL-04","Component List","Phase 2","stacks/61-apim","Implemented"
"WKL-05","Component List","Phase 2","stacks/62-sql","Implemented"
"WKL-06","Component List","Phase 2","stacks/63-avd","Implemented"
"WKL-07","Deployment Order","Phase 1","stacks/30-workload-spoke","Implemented"
"WKL-08","Deployment Order","Phase 1","stacks/30-workload-spoke","Reusable input"
"DR-01","Component List","Phase 2","reuse stacks/20-connectivity and stacks/30-workload-spoke in East US 2","Reusable input"
"DR-02","Component List","Phase 2","reuse connectivity stacks with global peering and ER contracts","Reusable input"
"DR-03","Component List","Phase 1","zone-aware inputs across platform stacks","Implemented"
"DR-04","Component List","Phase 2","stacks/50-phase2-data-protection","Implemented"
"DR-05","Component List","Phase 2","stacks/51-operations","Operational contract"
